Id,Label,Description,Area
KG Shin,KG Shin,1398.857142857143,Unknown
M Uysal,M Uysal,1533.8571428571427,Unknown
S Singhal,S Singhal,1482.857142857143,Unknown
A Merchant,A Merchant,1398.857142857143,Unknown
AA Soror,AA Soror,678.3333333333334,Unknown
UF Minhas,UF Minhas,1174.3333333333335,Unknown
P Kokosielis,P Kokosielis,631.6666666666666,Unknown
S Kamath,S Kamath,631.6666666666666,Unknown
K Daudjee,K Daudjee,1558.9666666666662,Unknown
D Gawlick,D Gawlick,470.4,Unknown
J Klein,J Klein,480.0,Unknown
K Kleissner,K Kleissner,470.4,Unknown
K Beyer,K Beyer,219.0,Unknown
B Lindsay,B Lindsay,219.0,Unknown
R Cochrane,R Cochrane,220.60000000000002,Unknown
R Alonso,R Alonso,268.0,Unknown
R Liu,R Liu,267.0,Unknown
AP Marathe,AP Marathe,206.0,Unknown
E Mansour,E Mansour,313.3333333333333,Unknown
N Zhang,N Zhang,842.2,Unknown
G Alonso,G Alonso,1258.833333333333,Unknown
C Binnig,C Binnig,358.8666666666667,Unknown
S Salihoglu,Semih Salihoglu,3240.666666666667,db
IF Ilyas,IF Ilyas,15883.190476190473,Unknown
H Voigt,H Voigt,226.33333333333331,Unknown
C Tantithamthavorn,C Tantithamthavorn,1777.5,Unknown
K Matsumoto,K Matsumoto,1906.2428571428577,Unknown
B Ghotra,B Ghotra,687.9999999999999,Unknown
T Fukushima,T Fukushima,608.4666666666666,Unknown
M Beller,M Beller,259.5,Unknown
R Bholanath,R Bholanath,259.5,Unknown
DA Da Costa,DA Da Costa,251.13333333333333,Unknown
U Kulesza,U Kulesza,392.0333333333333,Unknown
R Coelho,R Coelho,238.33333333333331,Unknown
A Ihara,A Ihara,339.59999999999997,Unknown
H Iida,H Iida,466.5,Unknown
F Zhang,F Zhang,363.16666666666663,Unknown
C Macho,C Macho,203.33333333333331,Unknown
M Pinzger,M Pinzger,203.33333333333331,Unknown
X Xia,X Xia,266.0,Unknown
A Bittau,A Bittau,1725.4333333333334,Unknown
A Belay,A Belay,1213.9333333333334,Unknown
D Mazières,D Mazières,1560.4333333333334,Unknown
D Boneh,D Boneh,2023.1,Unknown
D Terei,D Terei,589.9333333333333,Unknown
C Kozyrakis,C Kozyrakis,508.33333333333337,Unknown
E Celebi,E Celebi,220.83333333333334,Unknown
T Garfinkel,T Garfinkel,400.43333333333334,Unknown
M Cai,M Cai,318.83333333333337,Unknown
R Koller,R Koller,216.66666666666666,Unknown
D Mazieres,D Mazieres,246.60000000000002,Unknown
CD Nugent,CD Nugent,1831.0,Unknown
DJ Cook,DJ Cook,1736.0,Unknown
R St-Aubin,R St-Aubin,1195.3333333333333,Unknown
C Boutilier,C Boutilier,5483.400000000001,Unknown
A Mihailidis,A Mihailidis,5903.123809523812,Unknown
JN Boger,JN Boger,604.5,Unknown
T Craig,T Craig,1630.2333333333333,Unknown
N Vlassis,N Vlassis,1768.5,Unknown
K Regan,K Regan,1404.6666666666672,Unknown
A von Bertoldi,A von Bertoldi,1003.3333333333333,Unknown
J Boger,J Boger,2558.4809523809527,Unknown
G Fernie,G Fernie,1568.6666666666667,Unknown
M Karg,M Karg,469.33333333333337,Unknown
R Gorbet,R Gorbet,373.33333333333337,Unknown
K Kühnlenz,K Kühnlenz,373.33333333333337,Unknown
A Bertoldi,A Bertoldi,292.5,Unknown
