Id,Label,Description,Area
B Bittner,B Bittner,540.6,Unknown
C Kroll,C Kroll,275.3,Unknown
HH Borchert,HH Borchert,499.03333333333336,Unknown
T Kissel,T Kissel,540.5999999999999,Unknown
G Bacic,G Bacic,272.16666666666663,Unknown
A Domb,A Domb,340.06666666666666,Unknown
Y Li,Yuying Li,8429.466666666667,ai
R Stösser,R Stösser,286.43333333333334,Unknown
S Vertovec,S Vertovec,809.1999999999998,Unknown
R Pryce,R Pryce,541.0,Unknown
Ken Introduction Cohen,Ken Introduction Cohen,541.0,Unknown
R Sandbrook,R Sandbrook,272.66666666666663,Unknown
MG Lipton,MG Lipton,291.0,Unknown
MQ Dai,MQ Dai,291.0,Unknown
B Benhabib,B Benhabib,305.3333333333333,Unknown
AT Nzula,AT Nzula,211.5,Unknown
II Potekhin,II Potekhin,211.5,Unknown
AZ Zusmanovich,AZ Zusmanovich,211.5,Unknown
H Jenkins,H Jenkins,211.5,Unknown
PCW Gutkind,PCW Gutkind,338.83333333333337,Unknown
SL Pfleeger,SL Pfleeger,2499.0,Unknown
JM Atlee,JM Atlee,3470.3999999999996,Unknown
J Gannon,J Gannon,382.33333333333337,Unknown
D Ashlock,D Ashlock,501.0,Unknown
MD Smucker,MD Smucker,442.33333333333337,Unknown
E Stanley,E Stanley,442.33333333333337,Unknown
L Tesfatsion,L Tesfatsion,309.0,Unknown
TF Coleman,TF Coleman,7889.666666666667,Unknown
MA Branch,MA Branch,1218.6666666666667,Unknown
F Santosa,F Santosa,297.0,Unknown
GV Cormack,GV Cormack,3546.833333333334,Unknown
CR Palmer,CR Palmer,1128.6666666666665,Unknown
T Brecht,Tim Brecht,659.3333333333334,Unknown
H Sandhu,H Sandhu,245.66666666666669,Unknown
M Shan,M Shan,231.0,Unknown
J Talbot,J Talbot,231.0,Unknown
TB Brecht,TB Brecht,301.5,Unknown
PMB Vitanyi,PMB Vitanyi,11457.333333333334,Unknown
FJ Balbach,FJ Balbach,11085.0,Unknown
RL Cilibrasi,RL Cilibrasi,11085.0,Unknown
PMB Vitányi,PMB Vitányi,8992.333333333332,Unknown
P Gács,P Gács,1270.4,Unknown
WH Zurek,WH Zurek,1270.4,Unknown
M Charikar,M Charikar,1074.857142857143,Unknown
C Chekuri,C Chekuri,1074.857142857143,Unknown
T Cheung,T Cheung,1074.857142857143,Unknown
Z Dai,Z Dai,1074.857142857143,Unknown
A Goel,A Goel,1074.857142857143,Unknown
S Guha,S Guha,1074.857142857143,Unknown
M Kearns,M Kearns,1532.0,Unknown
L Pitt,L Pitt,783.0,Unknown
L Valiant,L Valiant,931.0,Unknown
S Kwong,S Kwong,488.66666666666674,Unknown
A Blum,A Blum,502.4,Unknown
T Jiang,T Jiang,1947.442857142857,Unknown
J Tromp,J Tromp,1578.4428571428573,Unknown
M Yannakakis,M Yannakakis,502.4,Unknown
A Israeli,A Israeli,493.9999999999999,Unknown
DE Foulser,DE Foulser,289.33333333333337,Unknown
Q Yang,Q Yang,289.33333333333337,Unknown
T Hancock,T Hancock,243.0,Unknown
B Chor,B Chor,749.1666666666667,Unknown
P Vitányi,P Vitányi,753.9000000000001,Unknown
B DasGupta,B DasGupta,404.4095238095238,Unknown
X He,Xi He,305.20952380952383,db
P Kearney,P Kearney,264.1333333333334,Unknown
J Chomicki,J Chomicki,399.0,Unknown
D Toman,David Toman,455.33333333333337,ai
RT Snodgrass,RT Snodgrass,265.0,Unknown
U Hengartner,Urs Hengartner,273.3,mobile
T Gross,T Gross,252.5,Unknown
RNS Horspool,RNS Horspool,433.3333333333333,Unknown
CLA Clarke,CLA Clarke,2749.5000000000005,Unknown
FJ Burkowski,FJ Burkowski,1172.3333333333333,Unknown
RN Horspool,RN Horspool,251.0,Unknown
H Garcia-Molina,H Garcia-Molina,4249.7333333333345,Unknown
K Salem,Kenneth Salem,4753.7333333333345,db
D Gawlick,D Gawlick,470.4,Unknown
J Klein,J Klein,480.0,Unknown
K Kleissner,K Kleissner,470.4,Unknown
R Alonso,R Alonso,268.0,Unknown
SE Sim,SE Sim,298.0,Unknown
S Ben-David,Shai Ben-David,3198.933333333334,ml
A Borodin,A Borodin,1110.4,Unknown
R Karp,R Karp,902.4,Unknown
G Tardos,G Tardos,902.4,Unknown
N Cesa-Bianchi,N Cesa-Bianchi,820.5,Unknown
D Haussler,D Haussler,820.5,Unknown
O Goldreich,O Goldreich,478.5,Unknown
MT Özsu,MT Özsu,6951.499999999997,Unknown
P Valduriez,P Valduriez,5340.666666666666,Unknown
DD Straube,DD Straube,367.6666666666667,Unknown
AA Farrag,AA Farrag,234.0,Unknown
AP Buchmann,AP Buchmann,264.0,Unknown
D Georgakopoulos,D Georgakopoulos,264.0,Unknown
F Manola,F Manola,264.0,Unknown
MT Ozsu,MT Ozsu,1529.719047619048,Unknown
U Dayal,U Dayal,206.66666666666669,Unknown
JZ Li,JZ Li,715.7190476190474,Unknown
D Szafron,D Szafron,1425.0000000000005,Unknown
T Özsu,T Özsu,371.0,Unknown
A Dogac,A Dogac,209.83333333333334,Unknown
RJ Peters,RJ Peters,285.66666666666674,Unknown
V Oria,V Oria,341.88571428571424,Unknown
A Lipka,A Lipka,227.16666666666666,Unknown
L Liu,L Liu,206.28571428571428,Unknown
IA Goralwalla,IA Goralwalla,399.2666666666666,Unknown
T Sandholm,T Sandholm,1727.9999999999998,Unknown
K Larson,Kate Larson,1727.9999999999998,ai
M Andersson,M Andersson,1727.9999999999998,Unknown
O Shehory,O Shehory,1727.9999999999998,Unknown
F Tohmé,F Tohmé,1716.8,Unknown
N Asokan,N. Asokan,4175.966666666665,security
M Schunter,M Schunter,1035.3333333333335,Unknown
M Waidner,M Waidner,3567.5,Unknown
V Shoup,V Shoup,1397.3333333333335,Unknown
PA Janson,PA Janson,616.5,Unknown
M Steiner,M Steiner,992.1666666666667,Unknown
G Karjoth,G Karjoth,352.0,Unknown
C Gülcü,C Gülcü,352.0,Unknown
D Samfat,D Samfat,221.33333333333334,Unknown
R Molva,R Molva,221.33333333333334,Unknown
Y Boykov,Yuri Boykov,2963.9999999999995,vision
O Veksler,Olga Veksler,2863.9999999999995,vision
R Zabih,R Zabih,2863.9999999999995,Unknown
A Halambi,A Halambi,1080.0,Unknown
P Grun,P Grun,1080.0,Unknown
V Ganesh,Vijay Ganesh,1100.0,ai
A Khare,A Khare,1080.0,Unknown
N Dutt,N Dutt,1080.0,Unknown
A Nicolau,A Nicolau,1080.0,Unknown
