web-scraper-order,web-scraper-start-url,link,link-href,name,area
"1669949564-2416","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=VIwtdckAAAAJ&hl=en&oi=ao","Ling Liu 0001","ml,hpc,db"
"1669949564-2417","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/i/Isbell_Jr=:Charles_L%3D","Charles L. Isbell Jr.","ml,robotics"
"1669949564-2418","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=eQ9_vDAAAAAJ&hl=en&oi=ao","Mohit Singh","theory"
"1669949564-2419","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=a6u7NTgAAAAJ&hl=en&oi=ao","Fabian Monrose","security"
"1669949564-2420","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=JvY2c4YAAAAJ&hl=en&oi=ao","Paul Pearce","security"
"1669949564-2421","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=1GsJvtwAAAAJ&hl=en&oi=ao","Brendan Saltaformaggio","security"
"1669949564-2422","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=kqfLNK8AAAAJ&hl=en&oi=ao","Srijan Kumar","web+ir,ml"
"1669949564-2423","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=wCfYkMkAAAAJ&hl=en&oi=ao","Alessandro Orso","se"
"1669949564-2424","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=u0TKjhIAAAAJ&hl=en&oi=ao","Qirun Zhang","pl"
"1669949564-2425","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=5HJzWMUAAAAJ&hl=en&oi=ao","Will Perkins 0001","theory"
"1669949564-2426","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=TaR3dq4AAAAJ&hl=en&oi=ao","Rosa I. Arriaga","hci"
"1669949564-2427","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=XjeIqxYAAAAJ&hl=en&oi=ao","Vivek Sarkar","hpc,arch"
"1669949564-2428","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Mm-dHpMAAAAJ&hl=en&oi=ao","Alexandros Daglis","arch"
"1669949564-2429","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Ihyz20wAAAAJ&hl=en&oi=ao","Matthew C. Gombolay","robotics,ai,ml"
"1669949564-2430","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=A_j_baAAAAAJ&hl=en&oi=ao","Milos Prvulovic","arch"
"1669949564-2431","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Y2HTFXAAAAAJ&hl=en&oi=ao","Lauren Wilcox","hci"
"1669949564-2432","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=mHwonDEAAAAJ&hl=en&oi=ao","Jun (Jim) Xu","metrics"
"1669949564-2433","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=QYqwwwcAAAAJ&hl=en&oi=ao","W. Keith Edwards","hci"
"1669949564-2434","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=r9K3MQwAAAAJ&hl=en&oi=ao","Joseph Jaeger","crypto"
"1669949564-2435","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=IdWa_JkAAAAJ&hl=en&oi=ao","Amy S. Bruckman","hci"
"1669949564-2436","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=PNalJ58AAAAJ&hl=en&oi=ao","Rebecca E. Grinter","hci"
"1669949564-2437","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=8mHLyRoAAAAJ&hl=en&oi=ao","Alexandra Boldyreva","security,crypto"
"1669949564-2438","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=HaJWLb0AAAAJ&hl=en&oi=ao","David Devecsery","arch,security,os"
