Source,Target,Type,Id,Label
A Varshney,R Duraiswami,Undirected,83,0.0
C Castillo,T Goldstein,Undirected,84,18.666666666666668
D Horn,E Ruppin,Undirected,85,752.6142857142861
H Samet,T Goldstein,Undirected,86,120.66666666666667
H Samet,N Elmqvist,Undirected,87,0.0
H Samet,A Varshney,Undirected,88,273.3333333333333
H Samet,R Duraiswami,Undirected,89,566.0
D Mount,A Varshney,Undirected,90,0.0
C Plaisant,N Elmqvist,Undirected,91,417.0
C Plaisant,N Spring,Undirected,92,463.50000000000006
C Plaisant,A Varshney,Undirected,93,527.3333333333333
C Plaisant,J Baras,Undirected,94,0.0
C Plaisant,J Lazar,Undirected,95,187.5
C Plaisant,B Bederson,Undirected,96,2.6666666666666665
C Plaisant,R Duraiswami,Undirected,97,126.90000000000002
B Shneiderman,N Elmqvist,Undirected,98,378.0
B Shneiderman,N Spring,Undirected,99,463.50000000000006
B Shneiderman,D Oard,Undirected,100,0.0
B Shneiderman,H Kacorri,Undirected,101,0.0
B Shneiderman,C Plaisant,Undirected,102,49066.66666666666
B Shneiderman,J Golbeck,Undirected,103,168.5
B Shneiderman,J Lazar,Undirected,104,1152.5000000000002
B Shneiderman,A Porter,Undirected,105,0.0
B Shneiderman,B Bederson,Undirected,106,73.0
B Shneiderman,R Duraiswami,Undirected,107,125.40000000000002
N Feldman,J Boyd-Graber,Undirected,108,9.0
N Feldman,P Resnik,Undirected,109,19.5
D Nau,J Baras,Undirected,110,16.666666666666664
J Golbeck,H Kacorri,Undirected,111,12.0
J Golbeck,C Plaisant,Undirected,112,170.63333333333335
J Golbeck,D Nau,Undirected,113,21.0
J Golbeck,B Bederson,Undirected,114,0.0
J Lazar,B Bederson,Undirected,115,8.799999999999999
A Memon,A Porter,Undirected,116,392.49999999999994
A Srivastava,D Dachman-Soled,Undirected,117,12.666666666666666
A Srivastava,R Patro,Undirected,118,201.70000000000002
A Srivastava,U Vishkin,Undirected,119,7.2
A Srivastava,D Yeung,Undirected,120,29.833333333333332
J Grant,D Perlis,Undirected,121,179.66666666666669
A Sussman,J Boyd-Graber,Undirected,122,0.0
A Sussman,M Carpuat,Undirected,123,0.0
A Sussman,N Spring,Undirected,124,0.0
A Sussman,J Hollingsworth,Undirected,125,10.0
A Sussman,A Memon,Undirected,126,256.1
A Sussman,A Porter,Undirected,127,264.09999999999997
A Sussman,B Bederson,Undirected,128,0.2857142857142857
U Vishkin,R Barua,Undirected,129,174.53333333333336
