Source,Target,Type,Id,Label
H Lin,S Patel,Undirected,63,0.25
H Lin,J Heer,Undirected,64,93.97142857142858
H Lin,S Tessaro,Undirected,65,699.0999999999999
H Lin,J Bilmes,Undirected,66,1615.833333333333
H Lin,A Zhang,Undirected,67,7.428571428571429
H Lin,J Lee,Undirected,68,0.0
F Roesner,T Kohno,Undirected,69,7568.590476190478
F Roesner,M Cakmak,Undirected,70,230.33333333333334
F Roesner,J Fogarty,Undirected,71,42.0
F Roesner,R Anderson,Undirected,72,68.19999999999999
L Ceze,T Kohno,Undirected,73,108.26666666666667
L Ceze,B Curless,Undirected,74,0.0
L Ceze,M Ernst,Undirected,75,0.0
L Ceze,M Balazinska,Undirected,76,85.48571428571428
L Ceze,R Bodík,Undirected,77,10.4
L Ceze,Z Tatlock,Undirected,78,0.0
L Ceze,D Grossman,Undirected,79,2441.8380952380953
L Ceze,M Oskin,Undirected,80,1104.942857142858
L Ceze,G Seelig,Undirected,81,547.6666666666666
D Suciu,T Kohno,Undirected,82,0.0
D Suciu,R Mahajan,Undirected,83,84.0
D Suciu,K Jamieson,Undirected,84,3.0
D Suciu,M Balazinska,Undirected,85,2091.4666666666662
D Suciu,P Beame,Undirected,86,1137.9999999999998
D Suciu,A Gupta,Undirected,87,141.4
B Curless,S Seitz,Undirected,88,177.0
B Curless,T Kohno,Undirected,89,12.0
B Curless,I Kemelmacher-Shlizerman,Undirected,90,424.83333333333337
B Curless,Z Popovic,Undirected,91,203.33333333333337
J Fogarty,J Wobbrock,Undirected,92,44.0
J Fogarty,J Froehlich,Undirected,93,358.33333333333326
J Fogarty,T Kohno,Undirected,94,310.0
J Fogarty,J Kientz,Undirected,95,0.0
J Fogarty,G Hsieh,Undirected,96,81.6
J Fogarty,C Aragon,Undirected,97,4.0
J Fogarty,E Lazowska,Undirected,98,4.666666666666667
A Hiniker,T Kohno,Undirected,99,297.0
A Hiniker,J Kientz,Undirected,100,119.0
A Hiniker,R Rao,Undirected,101,2.4
A Hiniker,C Aragon,Undirected,102,11.0
K Reinecke,Y Tsvetkov,Undirected,103,0.0
M Ernst,Z Tatlock,Undirected,104,0.0
K Jamieson,J Morgenstern,Undirected,105,0.0
S Peter,B Kasikci,Undirected,106,26.857142857142858
T Anderson,T Kohno,Undirected,107,108.0
T Anderson,R Mahajan,Undirected,108,5414.000000000002
T Anderson,S Peter,Undirected,109,937.7857142857142
T Anderson,Z Tatlock,Undirected,110,84.0
T Anderson,E Lazowska,Undirected,111,660.0
M Balazinska,H Hajishirzi,Undirected,112,1.5
M Balazinska,B Curless,Undirected,113,0.0
M Balazinska,J Fogarty,Undirected,114,17.0
M Balazinska,K Jamieson,Undirected,115,3.0
M Balazinska,R Krishna,Undirected,116,0.5714285714285714
M Balazinska,L Battle,Undirected,117,0.0
T Althoff,J Heer,Undirected,118,66.86666666666666
T Althoff,Y Tsvetkov,Undirected,119,0.0
T Althoff,K Reinecke,Undirected,120,0.0
D Grossman,H Hajishirzi,Undirected,121,1.5
D Grossman,F Roesner,Undirected,122,86.0
D Grossman,M Ernst,Undirected,123,0.0
D Grossman,M Balazinska,Undirected,124,607.2333333333333
D Grossman,Z Tatlock,Undirected,125,133.8
G Hsieh,J Kientz,Undirected,126,1250.0
